"Gender","Age","Status","Income","Frequency","Method","timepervisit","nearest","membership","fequencyofpurchase","spending","comparerate","pricerate","promotion","rateambiance","Wifi","rateservice","situational","source","loyalty"
"Female","From 20 to 29","Student","Less than RM25,000","Monthly","Drive-thru","Between 1 hour to 2 hours","1km - 3km","Yes","Cold drinks;Pastries;Sandwiches","Less than RM20",5,4,4,5,4,4,3,"Social Media;Through friends and word of mouth","Yes"
"Male","40 and above","Self-employed","RM100,000 - RM150,000","Rarely","Dine in","Between 1 hour to 2 hours","more than 3km","No","Coffee;Juices;Pastries;Sandwiches","Around RM20 - RM40",4,3,4,4,3,3,5,"Through friends and word of mouth;In Store displays","Yes"
"Male","From 30 to 39","Employed","More than RM150,000","Monthly","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes","Coffee;Cold drinks","Around RM20 - RM40",4,3,1,4,4,5,4,"Social Media;In Store displays;Billboards","Yes"
"Male","From 30 to 39","Employed","More than RM150,000","Rarely","Drive-thru","Below 30 minutes","1km - 3km","No","Coffee","Less than RM20",4,2,4,4,4,4,2,"Application offer","No"
"Male","From 20 to 29","Self-employed","Less than RM25,000","Monthly","Take away","Below 30 minutes","more than 3km","No","Coffee","Around RM20 - RM40",5,3,4,4,3,4,3,"Social Media","Yes"
"Male","40 and above","Self-employed","More than RM150,000","Weekly","Drive-thru","Below 30 minutes","1km - 3km","Yes","Coffee","More than RM40",4,5,3,3,3,4,5,"Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays","Yes"
"Female","From 20 to 29","Employed","RM50,000 - RM100,000","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes","Coffee","Less than RM20",5,5,5,5,3,5,5,"Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Monthly","Take away","Between 30 minutes to 1 hour","more than 3km","Yes","Coffee;Pastries;Sandwiches","Around RM20 - RM40",3,1,4,4,3,4,4,"Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Employed","RM50,000 - RM100,000","Weekly","Drive-thru","Below 30 minutes","within 1km","Yes","Coffee;Pastries","Around RM20 - RM40",4,3,3,3,2,3,4,"In Store displays","Yes"
"Female","From 30 to 39","Employed","RM25,000 - RM50,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Coffee","Around RM20 - RM40",2,3,5,5,3,5,5,"Social Media","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes","Coffee","Less than RM20",3,2,3,3,3,4,3,"Social Media","No"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Take away","Below 30 minutes","within 1km","No","Coffee","Less than RM20",3,4,4,3,4,4,3,"Social Media;Through friends and word of mouth;Billboards","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Coffee","Less than RM20",4,2,4,4,3,4,1,"Social Media","No"
"Female","From 20 to 29","Self-employed","Less than RM25,000","Rarely","Take away","Below 30 minutes","within 1km","No","Cold drinks","Less than RM20",3,3,4,4,5,5,2,"Social Media","Yes"
"Male","Below 20","Student","Less than RM25,000","Rarely","Dine in","Between 1 hour to 2 hours","more than 3km","No","Coffee","Less than RM20",5,2,3,4,4,3,5,"Starbucks Website/Apps;Social Media","Yes"
"Male","From 20 to 29","Employed","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","Yes","Cold drinks;Juices;Pastries","Around RM20 - RM40",4,4,4,4,4,4,4,"In Store displays","Yes"
"Male","From 30 to 39","Employed","RM50,000 - RM100,000","Rarely","Take away","Below 30 minutes","within 1km","Yes","Coffee","Less than RM20",3,2,5,3,3,5,3,"Starbucks Website/Apps;Social Media","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Never","Take away","Below 30 minutes","1km - 3km","No","Coffee","Less than RM20",4,4,4,4,4,4,4,"Social Media","Yes"
"Male","From 20 to 29","Employed","Less than RM25,000","Monthly","Dine in","Between 30 minutes to 1 hour","within 1km","Yes","Coffee","Around RM20 - RM40",5,4,5,5,3,5,5,"Starbucks Website/Apps;Social Media","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Weekly","Dine in","Between 30 minutes to 1 hour","within 1km","Yes","Coffee","Around RM20 - RM40",5,4,5,5,1,4,4,"Social Media","Yes"
"Female","From 20 to 29","Employed","Less than RM25,000","Monthly","Take away","Below 30 minutes","more than 3km","No","Coffee;Pastries","Around RM20 - RM40",4,4,5,4,4,5,5,"Starbucks Website/Apps;Social Media;Emails;Billboards","Yes"
"Female","Below 20","Student","Less than RM25,000","Never","Never","Below 30 minutes","1km - 3km","No","Coffee","Zero",3,3,3,3,3,3,3,"Social Media","Yes"
"Female","From 30 to 39","Student","RM50,000 - RM100,000","Rarely","Take away","Below 30 minutes","1km - 3km","Yes","Coffee;Pastries","Around RM20 - RM40",5,3,4,3,4,4,4,"Social Media","Yes"
"Female","Below 20","Student","Less than RM25,000","Never","Dine in","Below 30 minutes","more than 3km","No","Cold drinks","Less than RM20",3,2,5,4,3,3,5,"Through friends and word of mouth","Yes"
"Female","From 20 to 29","Self-employed","Less than RM25,000","Rarely","Take away","Between 30 minutes to 1 hour","more than 3km","No","Coffee","Zero",3,1,5,4,3,3,2,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Take away","Below 30 minutes","within 1km","No","Cold drinks","Less than RM20",3,4,5,4,3,4,2,"Social Media;Through friends and word of mouth","Yes"
"Male","Below 20","Student","Less than RM25,000","Rarely","Drive-thru","Below 30 minutes","within 1km","Yes","Cold drinks","Less than RM20",3,3,3,3,3,3,3,"Social Media","Yes"
"Male","40 and above","Employed","RM100,000 - RM150,000","Rarely","Dine in","Below 30 minutes","more than 3km","Yes","Coffee","Around RM20 - RM40",4,4,4,4,2,3,4,"Social Media;In Store displays","Yes"
"Female","Below 20","Student","Less than RM25,000","Rarely","Dine in","Below 30 minutes","more than 3km","No","Cold drinks","Less than RM20",3,3,2,2,2,4,3,"Social Media;Through friends and word of mouth","No"
"Female","40 and above","Housewife","Less than RM25,000","Monthly","Take away","Below 30 minutes","more than 3km","Yes","Cold drinks;Juices;Pastries","More than RM40",5,4,3,5,3,5,5,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth","Yes"
"Female","Below 20","Student","Less than RM25,000","Rarely","Drive-thru","Below 30 minutes","more than 3km","No","Coffee","Around RM20 - RM40",3,3,2,3,3,3,3,"Social Media","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Take away","Between 30 minutes to 1 hour","within 1km","Yes","Coffee","Around RM20 - RM40",4,3,5,4,4,5,5,"Social Media;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Monthly","Take away","Between 30 minutes to 1 hour","1km - 3km","Yes","Coffee","Less than RM20",4,3,4,3,2,3,4,"Starbucks Website/Apps","Yes"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Drive-thru","Below 30 minutes","1km - 3km","No","Coffee;Cold drinks","Around RM20 - RM40",5,4,3,4,3,3,3,"In Store displays","Yes"
"Male","Below 20","Student","Less than RM25,000","Monthly","Dine in","Between 30 minutes to 1 hour","more than 3km","Yes","Coffee","Less than RM20",5,5,5,5,5,5,5,"Through friends and word of mouth","Yes"
"Male","Below 20","Student","Less than RM25,000","Monthly","Dine in","Below 30 minutes","1km - 3km","No","Coffee","Less than RM20",3,3,3,3,4,3,3,"Social Media","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Drive-thru","Below 30 minutes","more than 3km","No","Cold drinks","Less than RM20",4,3,4,4,3,4,3,"Starbucks Website/Apps;Social Media","Yes"
"Male","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Between 1 hour to 2 hours","1km - 3km","Yes","Coffee","More than RM40",2,1,5,1,4,3,3,"Social Media","Yes"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Drive-thru","Below 30 minutes","1km - 3km","No","Coffee;Cold drinks","Around RM20 - RM40",5,4,3,4,3,3,3,"In Store displays","Yes"
"Male","From 30 to 39","Student","Less than RM25,000","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No","Coffee","Around RM20 - RM40",3,3,4,3,3,3,3,"Social Media","Yes"
"Male","From 20 to 29","Employed","Less than RM25,000","Rarely","Take away","Between 30 minutes to 1 hour","within 1km","Yes","Coffee","Less than RM20",4,2,3,5,4,4,5,"Social Media;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Coffee","Zero",3,1,5,3,4,4,5,"Social Media","No"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","No","Coffee","Less than RM20",4,3,2,4,3,4,4,"Through friends and word of mouth","No"
"Female","From 20 to 29","Self-employed","RM25,000 - RM50,000","Monthly","Dine in","Below 30 minutes","within 1km","Yes","Coffee;Cold drinks;Pastries;Sandwiches","Around RM20 - RM40",4,3,4,5,4,4,4,"Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Self-employed","Less than RM25,000","Never","Never","Below 30 minutes","more than 3km","No","Never","Zero",3,3,3,3,3,3,3,"Never hear","No"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Dine in","Below 30 minutes","more than 3km","No","Coffee","Zero",2,1,5,4,4,4,1,"Starbucks Website/Apps;Social Media;Through friends and word of mouth","No"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes","Cold drinks","Less than RM20",3,3,5,4,3,3,4,"Social Media;Through friends and word of mouth;In Store displays;Billboards","Yes"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Take away","Below 30 minutes","within 1km","No","Coffee","Less than RM20",4,3,4,5,5,5,3,"Social Media;Through friends and word of mouth","Yes"
"Male","From 20 to 29","Employed","RM25,000 - RM50,000","Weekly","Take away","Between 1 hour to 2 hours","within 1km","Yes","Coffee;Sandwiches","Around RM20 - RM40",5,1,3,3,2,3,3,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)","Yes"
"Female","From 20 to 29","Employed","Less than RM25,000","Monthly","Take away","Below 30 minutes","more than 3km","Yes","Coffee","Less than RM20",4,2,4,4,3,4,3,"Through friends and word of mouth","Yes"
"Male","From 30 to 39","Employed","Less than RM25,000","Rarely","Take away","Below 30 minutes","1km - 3km","Yes","Cold drinks","Less than RM20",3,2,4,4,4,5,4,"Starbucks Website/Apps;Social Media","Yes"
"Female","From 20 to 29","Housewife","RM50,000 - RM100,000","Rarely","Drive-thru","Below 30 minutes","more than 3km","No","Coffee;Cold drinks","Around RM20 - RM40",3,2,3,3,3,5,4,"Social Media","Yes"
"Male","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Take away","Below 30 minutes","more than 3km","Yes","Coffee","Less than RM20",3,3,4,5,4,4,4,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth","Yes"
"Male","From 20 to 29","Employed","Less than RM25,000","Rarely","Take away","Below 30 minutes","1km - 3km","No","Coffee","Less than RM20",4,2,5,3,2,4,4,"Social Media;Emails;Through friends and word of mouth","Yes"
"Male","From 20 to 29","Employed","RM50,000 - RM100,000","Monthly","Dine in","Between 30 minutes to 1 hour","more than 3km","Yes","Coffee","Around RM20 - RM40",4,2,1,4,1,4,4,"Social Media","Yes"
"Female","From 20 to 29","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Coffee","Less than RM20",2,1,5,2,2,2,2,"Social Media;Through friends and word of mouth","No"
"Female","Below 20","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Cold drinks","Less than RM20",2,2,3,2,2,2,2,"Social Media;Deal sites (fave, iprice, etc...)","No"
"Female","From 20 to 29","Employed","RM50,000 - RM100,000","Monthly","Drive-thru","More than 3 hours","1km - 3km","Yes","Coffee","Around RM20 - RM40",3,2,4,3,1,3,3,"Starbucks Website/Apps","No"
"Male","From 20 to 29","Self-employed","RM50,000 - RM100,000","Rarely","Dine in","Between 1 hour to 2 hours","more than 3km","Yes","Cold drinks","Less than RM20",5,5,5,5,5,5,5,"Starbucks Website/Apps","Yes"
"Male","From 30 to 39","Self-employed","RM50,000 - RM100,000","Weekly","Take away","Between 30 minutes to 1 hour","1km - 3km","Yes","Coffee","Less than RM20",4,4,2,4,3,4,5,"Social Media","Yes"
"Male","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Dine in","Between 1 hour to 2 hours","more than 3km","No","Coffee","Around RM20 - RM40",4,2,4,3,4,4,4,"In Store displays","No"
"Male","From 30 to 39","Self-employed","More than RM150,000","Monthly","Dine in","Between 2 hours to 3 hours","more than 3km","Yes","Jaws chip ","Around RM20 - RM40",4,3,4,4,3,4,4,"Starbucks Website/Apps;Emails","Yes"
"Male","From 20 to 29","Self-employed","More than RM150,000","Rarely","Drive-thru","Between 30 minutes to 1 hour","more than 3km","Yes","Coffee","More than RM40",4,3,2,3,1,2,2,"Social Media;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Dine in","Below 30 minutes","1km - 3km","Yes","Coffee","Around RM20 - RM40",3,3,3,4,3,3,3,"Social Media;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Take away","Below 30 minutes","within 1km","Yes","cake ","Around RM20 - RM40",4,4,4,4,4,4,4,"Starbucks Website/Apps;Social Media;Through friends and word of mouth","Yes"
"Male","From 20 to 29","Self-employed","RM25,000 - RM50,000","Rarely","Dine in","Below 30 minutes","1km - 3km","Yes","Cold drinks","Zero",5,5,5,5,4,5,5,"Starbucks Website/Apps","Yes"
"Female","From 30 to 39","Employed","RM50,000 - RM100,000","Weekly","Dine in","Between 1 hour to 2 hours","more than 3km","Yes","Coffee","Around RM20 - RM40",4,4,5,4,4,5,4,"Emails","Yes"
"Female","From 30 to 39","Employed","RM25,000 - RM50,000","Monthly","Take away","Between 30 minutes to 1 hour","within 1km","Yes","Coffee;Pastries","Around RM20 - RM40",4,3,4,5,5,4,5,"Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Never","Dine in","Below 30 minutes","within 1km","No","Coffee","Zero",3,3,3,3,3,3,3,"Social Media","No"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","Yes","Coffee","Less than RM20",5,3,5,5,4,4,1,"Social Media;In Store displays","Yes"
"Male","From 20 to 29","Employed","RM50,000 - RM100,000","Monthly","Take away","Below 30 minutes","more than 3km","Yes","Coffee","Around RM20 - RM40",3,1,3,3,1,3,2,"Social Media;Through friends and word of mouth","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes","Cold drinks","Less than RM20",3,3,5,4,3,3,4,"Social Media;Through friends and word of mouth;In Store displays;Billboards","Yes"
"Female","From 20 to 29","Self-employed","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Cold drinks","Less than RM20",3,3,1,4,3,4,4,"Social Media;Through friends and word of mouth","Yes"
"Female","From 30 to 39","Employed","Less than RM25,000","Rarely","I dont like coffee","Below 30 minutes","within 1km","No","Pastries","Around RM20 - RM40",3,3,3,3,3,3,3,"Social Media","Yes"
"Female","From 20 to 29","Employed","RM25,000 - RM50,000","Rarely","Drive-thru","Below 30 minutes","1km - 3km","Yes","Coffee","Around RM20 - RM40",4,3,4,3,3,4,4,"Starbucks Website/Apps;Emails","Yes"
"Male","From 30 to 39","Employed","Less than RM25,000","Rarely","Drive-thru","Between 30 minutes to 1 hour","more than 3km","Yes","Coffee","Less than RM20",4,2,3,4,4,4,4,"Social Media","Yes"
"Male","From 20 to 29","Student","Less than RM25,000","Rarely","Drive-thru","Between 30 minutes to 1 hour","more than 3km","No","Cold drinks","Around RM20 - RM40",3,2,3,3,3,3,3,"Through friends and word of mouth","Yes"
"Male","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No","Coffee","Less than RM20",3,4,3,3,1,2,3,"Through friends and word of mouth","Yes"
"Male","From 20 to 29","Self-employed","RM50,000 - RM100,000","Daily","Drive-thru","Below 30 minutes","more than 3km","Yes","Coffee","Around RM20 - RM40",4,2,4,4,3,3,3,"Social Media;Emails","Yes"
"Male","From 30 to 39","Employed","RM25,000 - RM50,000","Weekly","Dine in","Between 1 hour to 2 hours","more than 3km","No","Coffee;Pastries","More than RM40",4,5,5,4,4,3,3,"Starbucks Website/Apps;Social Media;Through friends and word of mouth","Yes"
"Male","Below 20","Student","Less than RM25,000","Rarely","Drive-thru","Between 30 minutes to 1 hour","more than 3km","No","Pastries","Less than RM20",4,4,4,4,4,4,4,"Social Media;Emails","No"
"Male","40 and above","Employed","RM50,000 - RM100,000","Monthly","Drive-thru","Between 30 minutes to 1 hour","more than 3km","No","Cold drinks","Around RM20 - RM40",4,3,5,4,4,4,4,"Starbucks Website/Apps","Yes"
"Male","From 20 to 29","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Coffee","Around RM20 - RM40",3,3,3,3,3,3,3,"Starbucks Website/Apps;Social Media","Yes"
"Female","Below 20","Student","Less than RM25,000","Never","Never","Below 30 minutes","more than 3km","No","Cold drinks;Never","Zero",3,2,2,2,3,3,3,"Starbucks Website/Apps;Social Media;Through friends and word of mouth","Yes"
"Male","From 20 to 29","Student","Less than RM25,000","Never","Never","Below 30 minutes","within 1km","No","Never","Zero",3,3,3,1,3,3,4,"Through friends and word of mouth","No"
"Male","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Below 30 minutes","more than 3km","No","Coffee;Pastries","Less than RM20",3,3,3,3,3,3,2,"Social Media","No"
"Male","From 20 to 29","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Cold drinks","Zero",4,2,3,5,4,4,2,"Social Media","No"
"Female","From 20 to 29","Employed","Less than RM25,000","Monthly","Take away","Below 30 minutes","more than 3km","No","Cold drinks","Less than RM20",5,4,4,4,4,4,4,"Social Media;Through friends and word of mouth;In Store displays;Billboards","Yes"
"Male","From 20 to 29","Student","More than RM150,000","Never","Never ","Below 30 minutes","more than 3km","No","Nothing ","Zero",1,1,1,1,1,1,1,"Billboards","No"
"Female","Below 20","Student","Less than RM25,000","Rarely","Take away","Below 30 minutes","more than 3km","No","Cold drinks","Less than RM20",3,4,5,5,5,4,4,"Social Media","Yes"
"Male","40 and above","Self-employed","RM25,000 - RM50,000","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No","Cold drinks","Less than RM20",2,2,1,2,2,3,2,"In Store displays","No"
"Male","Below 20","Student","Less than RM25,000","Daily","Take away","Below 30 minutes","more than 3km","No","Cold drinks","Around RM20 - RM40",5,5,5,5,5,5,5,"Social Media;Through friends and word of mouth","Yes"
"Male","From 30 to 39","Student","Less than RM25,000","Monthly","Dine in","Between 1 hour to 2 hours","more than 3km","No","Cold drinks","Less than RM20",4,4,5,4,2,3,4,"Social Media","Yes"
"Male","40 and above","Self-employed","RM25,000 - RM50,000","Monthly","Dine in","Between 1 hour to 2 hours","1km - 3km","Yes","Coffee","Around RM20 - RM40",3,3,5,3,2,4,4,"Starbucks Website/Apps;Social Media","Yes"
"Male","From 20 to 29","Employed","Less than RM25,000","Monthly","Dine in","Between 1 hour to 2 hours","1km - 3km","Yes","Coffee;Cold drinks;Juices;Pastries;Sandwiches","More than RM40",5,5,5,5,5,5,5,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards","Yes"
"Male","From 20 to 29","Student","Less than RM25,000","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","No","Coffee;Cold drinks","Less than RM20",3,2,4,3,3,3,4,"Social Media;Through friends and word of mouth;In Store displays","No"
"Female","From 20 to 29","Employed","Less than RM25,000","Rarely","Take away","Below 30 minutes","within 1km","No","Coffee","Less than RM20",4,4,4,4,4,4,4,"Social Media;Through friends and word of mouth;Billboards","Yes"
"Male","From 20 to 29","Employed","RM50,000 - RM100,000","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","No","Coffee","Less than RM20",1,1,5,4,3,3,2,"In Store displays","No"
